"name","degree","JobId","Qualification"
"Tanya Edwards","B.Tech","773798251416336","M.Tech/B.Tech"
"Ulysses Ross","BA","1846193207686983","BA"
"Vivian Hughes","BBA","2739168200269021","MBA/BBA"
"Wayne Rogers","BCA","466083613853147","MCA/BCA"
"Yasmine Barrett","M.Tech","2923831611027232","M.Tech"
"Zane Cole","MBA","336200912542924","MBA"
"Abigail Porter","MCA","579575048679091","MCA"
"Blake Townsend","PhD","656921276403070","PhD"
"Dylan Walker","B.Tech","1225535036606351","M.Tech/B.Tech"
"Elise Sanders","BA","2331576770717246","BA"
"Francis Hicks","BBA","2440179520384781","MBA/BBA"
"Gloria Long","BCA","96764880618602","MCA/BCA"
"Isabel Rivera","M.Tech","248449529309724","M.Tech"
"Jason Bell","MBA","919131047374313","MBA"
"Kate Hughes","MCA","2945913403797235","MCA"
"Liam Martin","PhD","1360070138781167","PhD"
"Noah Cooper","B.Tech","2096439356004374","M.Tech/B.Tech"
"Ophelia Barnes","BA","105151768882381","BA"
"Parker Wood","BBA","2114228993976103","MBA/BBA"
"Quincy Young","BCA","2569062422630576","MCA/BCA"
"Sophia Lee","M.Tech","2493341780464709","M.Tech"
"Tyler Adams","MBA","2427096294014030","MBA"
"Ulysses Clark","MCA","2276733529605345","MCA"
"Victoria Morgan","PhD","2435037980247622","PhD"
"Jane Smith","B.Tech","1016516744724168","M.Tech/B.Tech"
"Alice Johnson","BA","1385010604943968","BA"
"Bob Brown","BBA","145399585862144","MBA/BBA"
"Charlie Davis","BCA","658352476769475","MCA/BCA"
"George Harris","M.Tech","955448019329178","M.Tech"
"Hannah Martin","MBA","2688617450853194","MBA"
"Ian Clark","MCA","2887765407880256","MCA"
"Jessica Lewis","PhD","1487187719810876","PhD"
"Larry Anderson","B.Tech","2106006937289114","M.Tech/B.Tech"
"Monica Hall","BA","1896547508467197","BA"
"Nathan Allen","BBA","642334182333917","MBA/BBA"
"Olivia Young","BCA","3084483244796070","MCA/BCA"
"Quinn Wright","M.Tech","3057196015811336","M.Tech"
"Rachel Scott","MBA","1801490479475084","MBA"
"Steve Adams","MCA","1940904259715887","MCA"
"Tina Baker","PhD","1352724567331229","PhD"
"Victor Roberts","B.Tech","288941837754490","M.Tech/B.Tech"
"Wendy Evans","BA","275877193593940","BA"
"Xander Collins","BBA","2470717648248950","MBA/BBA"
"Yvonne Stewart","BCA","1714334287335132","MCA/BCA"
"Aaron Wood","M.Tech","307873899927146","M.Tech"
"Bella Watson","MBA","2855661563833731","MBA"
"Cameron Reed","MCA","2554035352669742","MCA"
"Diana Murphy","PhD","2554197658030784","PhD"
"Fiona Bailey","B.Tech","2023971849029141","M.Tech/B.Tech"
"Gavin Nelson","BA","58801832589647","BA"
"Hazel Rivera","BBA","3096609007532611","MBA/BBA"
"Isaac Brooks","BCA","2448697733283537","MCA/BCA"
"Kevin Mitchell","M.Tech","270402783784246","M.Tech"
"Luna Gray","MBA","1095385721568166","MBA"
"Michael Hayes","MCA","1711635968135303","MCA"
"Nina Simmons","PhD","77668965448113","PhD"
"Paula Ward","B.Tech","2504297733499449","M.Tech/B.Tech"
"Quincy Hughes","BA","956184901522839","BA"
"Ruby Powell","BBA","1995350478263766","MBA/BBA"
"Samuel Russell","BCA","399217604939821","MCA/BCA"
"Ursula Howard","M.Tech","744378321537712","M.Tech"
"Victor Morgan","MBA","1296141719608926","MBA"
"Walter Bell","MCA","24991937651087","MCA"
"Xena Bryant","PhD","1438033821712490","PhD"
"Zoe Jenkins","B.Tech","2974277816309412","M.Tech/B.Tech"
"Anthony Long","BA","2692051495385745","BA"
"Brittany Patterson","BBA","2380500351481719","MBA/BBA"
"Carlos Coleman","BCA","2292627292121486","MCA/BCA"
"Eleanor Perry","M.Tech","386935925609742","M.Tech"
"Frankie Alexander","MBA","363944948234256","MBA"
"Gina Butler","MCA","2980724050597001","MCA"
"Harold Webb","PhD","1101790486004984","PhD"
"Jackie Harper","B.Tech","72800592741100","M.Tech/B.Tech"
"Kurt Matthews","BA","2008599255989553","BA"
"Lara Jennings","BBA","1539263063347944","MBA/BBA"
"Mason Rhodes","BCA","1766812111882406","MCA/BCA"
"Owen Perry","M.Tech","1472327045419647","M.Tech"
"Piper Freeman","MBA","2646750127749830","MBA"
"Quinton Lawrence","MCA","2075190948218940","MCA/BCA"
"Riley Patterson","PhD","1749544446850670","PhD"
"Tanya Edwards","B.Tech","1689481939631362","M.Tech/B.Tech"
"Ulysses Ross","BA","1243957041200233","BA"
"Vivian Hughes","BBA","1882853188263499","MBA/BBA"
"Wayne Rogers","BCA","2742298038767480","MCA/BCA"
"Yasmine Barrett","M.Tech","148163857946816","M.Tech"
"Zane Cole","MBA","3081370537771102","MBA"
"Abigail Porter","MCA","1087659901403397","MCA"
"Blake Townsend","PhD","222638050209965","PhD"
"Dylan Walker","B.Tech","418081169195063","M.Tech/B.Tech"
"Elise Sanders","BA","2167611398642460","BA"
"Francis Hicks","BBA","2383642017190423","MBA/BBA"
"Gloria Long","BCA","64698191433317","MCA/BCA"
"Isabel Rivera","M.Tech","2912686024304965","M.Tech"
"Jason Bell","MBA","603290390078566","MBA"
"Kate Hughes","MCA","1596553017574397","MCA"
"Liam Martin","PhD","577211763504566","PhD"
"Noah Cooper","B.Tech","2144388533438792","M.Tech/B.Tech"
"Ophelia Barnes","BA","22580607012829","BA"
"Parker Wood","BBA","2916508598213823","MBA/BBA"
"Quincy Young","BCA","507092565645323","MCA/BCA"
"Sophia Lee","M.Tech","824024682569388","M.Tech"
"Tyler Adams","MBA","928765169844768","MBA"
"Ulysses Clark","MCA","884852662117570","MCA"
"Victoria Morgan","PhD","2723378277276485","PhD"
"Jane Smith","B.Tech","2049393161746282","M.Tech/B.Tech"
"Alice Johnson","BA","422676275009558","BA"
"Bob Brown","BBA","2622321370377340","MBA/BBA"
"Charlie Davis","BCA","2421662116711767","MCA/BCA"
"George Harris","M.Tech","2497732438691862","M.Tech"
"Hannah Martin","MBA","2174489695396909","MBA"
"Ian Clark","MCA","2421443788616217","MCA"
"Jessica Lewis","PhD","773347391625286","PhD"
"Larry Anderson","B.Tech","591580246152065","M.Tech/B.Tech"
"Monica Hall","BA","379085778295201","BA"
"Nathan Allen","BBA","456051058282635","MBA/BBA"
"Olivia Young","BCA","273337118353274","MCA/BCA"
"Quinn Wright","M.Tech","1840462025419703","M.Tech"
"Rachel Scott","MBA","1285298931462395","MBA"
"Steve Adams","MCA","1262797495134226","MCA/BCA"
"Tina Baker","PhD","1198963877133764","PhD"
"Victor Roberts","B.Tech","1245197199175948","M.Tech/B.Tech"
"Wendy Evans","BA","1384735006315381","BA"
"Xander Collins","BBA","547405486909590","MBA/BBA"
"Yvonne Stewart","BCA","57981670145803","MCA/BCA"
"Aaron Wood","M.Tech","3020706461775166","M.Tech"
"Bella Watson","MBA","739866129797842","MBA"
"Cameron Reed","MCA","548936798138525","MCA"
"Diana Murphy","PhD","1774516911518640","PhD"
"Fiona Bailey","B.Tech","2096327049603757","M.Tech/B.Tech"
"Gavin Nelson","BA","2482944066971281","BA"
"Hazel Rivera","BBA","1323558270902093","MBA/BBA"
"Isaac Brooks","BCA","1894521185840048","MCA/BCA"
"Kevin Mitchell","M.Tech","2398682811030169","M.Tech"
"Luna Gray","MBA","1964096428992705","MBA"
"Michael Hayes","MCA","306016090911435","MCA"
"Nina Simmons","PhD","266242073421083","PhD"
"Paula Ward","B.Tech","994078073403295","M.Tech/B.Tech"
"Quincy Hughes","BA","40922581652370","BA"
"Ruby Powell","BBA","2238888202696420","MBA/BBA"
"Samuel Russell","BCA","1442980337121238","MCA/BCA"
"Ursula Howard","M.Tech","966650422072366","M.Tech"
"Victor Morgan","MBA","694680915572880","MBA"
"Walter Bell","MCA","1981730295243808","MCA"
"Xena Bryant","PhD","929753245534249","PhD"
"Zoe Jenkins","B.Tech","2382673250573351","M.Tech/B.Tech"
"Anthony Long","BA","1512255509797067","BA"
"Brittany Patterson","BBA","11389387326971","MBA/BBA"
"Carlos Coleman","BCA","2061641739444640","MCA/BCA"
"Eleanor Perry","M.Tech","1610592842191022","M.Tech"
"Frankie Alexander","MBA","166795681428216","MBA"
"Gina Butler","MCA","3065354387066140","MCA"
"Harold Webb","PhD","1995436013511693","PhD"
"Jackie Harper","B.Tech","2599152332801097","M.Tech/B.Tech"
"Kurt Matthews","BA","1853604249162653","BA"
"Lara Jennings","BBA","1926528247647629","MBA/BBA"
"Mason Rhodes","BCA","2516347443552908","MCA/BCA"
"Owen Perry","M.Tech","1073442790861359","M.Tech"
"Piper Freeman","MBA","412029969129672","MBA"
"Quinton Lawrence","MCA","691709241515804","MCA"
"Riley Patterson","PhD","2622952162296955","PhD"
"Tanya Edwards","B.Tech","2046269932367713","M.Tech/B.Tech"
"Ulysses Ross","BA","1441877065109934","BA"
"Vivian Hughes","BBA","1269881645380601","MBA/BBA"
"Wayne Rogers","BCA","2818762893904897","MCA/BCA"
"Yasmine Barrett","M.Tech","3009534177258410","M.Tech"
"Zane Cole","MBA","2459929470645310","MBA"
"Abigail Porter","MCA","572289767091970","MCA"
"Blake Townsend","PhD","1146610732516604","PhD"
"Dylan Walker","B.Tech","1901774038089724","M.Tech/B.Tech"
"Elise Sanders","BA","1140429647542292","BA"
"Francis Hicks","BBA","1234194272393378","MBA/BBA"
"Gloria Long","BCA","1364305364283891","MCA/BCA"
"Isabel Rivera","M.Tech","1377475145823410","M.Tech"
"Jason Bell","MBA","2647621495658127","MBA"
"Kate Hughes","MCA","1199552375893512","MCA"
"Liam Martin","PhD","1309442989615351","PhD"
"Noah Cooper","B.Tech","2429298219994028","M.Tech/B.Tech"
"Ophelia Barnes","BA","225190937608880","BA"
"Parker Wood","BBA","642095410675353","MBA/BBA"
"Quincy Young","BCA","1201160030667016","MCA/BCA"
"Sophia Lee","M.Tech","2639193524622832","M.Tech"
"Tyler Adams","MBA","3031240542030912","MBA"
"Ulysses Clark","MCA","2656767636912653","MCA"
"Victoria Morgan","PhD","2368329726744280","PhD"
"Jane Smith","B.Tech","2586689383653280","M.Tech/B.Tech"
"Alice Johnson","BA","1096712901596326","BA"
"Bob Brown","BBA","545037330114622","MBA/BBA"
"Charlie Davis","BCA","659187826879414","MCA/BCA"
"George Harris","M.Tech","1314550353046504","M.Tech"
"Hannah Martin","MBA","1130337501146476","MBA"
"Ian Clark","MCA","443217784381796","MCA"
"Jessica Lewis","PhD","1210882783953236","PhD"
"Larry Anderson","B.Tech","2949511736952871","M.Tech/B.Tech"
"Monica Hall","BA","2045866099164308","BA"
"Nathan Allen","BBA","127179941154526","MBA/BBA"
"Olivia Young","BCA","1543222313982376","MCA/BCA"
"Quinn Wright","M.Tech","63130933296968","M.Tech"
"Rachel Scott","MBA","2859403459988288","MBA"
"Steve Adams","MCA","1031912290957736","MCA/BCA"
"Tina Baker","PhD","1217483326695886","PhD"
"Victor Roberts","B.Tech","1628292934486581","M.Tech/B.Tech"
"Wendy Evans","BA","1522018637890986","BA"
"Xander Collins","BBA","278877884058183","MBA/BBA"
"Yvonne Stewart","BCA","1442967264424921","MCA/BCA"
"Aaron Wood","M.Tech","1400263350909761","M.Tech"
"Bella Watson","MBA","338506368421181","MBA"
"Cameron Reed","MCA","1332881322791377","MCA"
"Diana Murphy","PhD","19927137147114","PhD"
"Fiona Bailey","B.Tech","2728098482904385","M.Tech/B.Tech"
"Gavin Nelson","BA","2610900027467811","MBA"
"Hazel Rivera","BBA","3023389413900036","MBA/BBA"
"Isaac Brooks","BCA","521701516123769","MCA/BCA"
"Kevin Mitchell","M.Tech","2017598477069556","M.Tech"
"Luna Gray","MBA","1624830617832637","MBA"
"Michael Hayes","MCA","161230026511942","MCA"
"Nina Simmons","PhD","944682973338694","PhD"
"Paula Ward","B.Tech","395253196166585","M.Tech/B.Tech"
"Quincy Hughes","BA","2244590250235055","BA"
"Ruby Powell","BBA","2249623231992165","MBA/BBA"
"Samuel Russell","BCA","1650388917845894","MCA/BCA"
"Ursula Howard","M.Tech","2212352981116641","M.Tech"
"Victor Morgan","MBA","1404880356445312","MBA"
"Walter Bell","MCA","1974603023004542","MCA"
"Xena Bryant","PhD","630481464681167","PhD"
"Zoe Jenkins","B.Tech","2085021594367034","M.Tech/B.Tech"
"Anthony Long","BA","1253344716349662","BA"
"Brittany Patterson","BBA","1091540129392405","MBA/BBA"
"Carlos Coleman","BCA","445041235639110","MCA/BCA"
"Eleanor Perry","M.Tech","652801368476574","M.Tech"
"Frankie Alexander","MBA","2662901629347449","MBA"
"Gina Butler","MCA","2081143582367273","MCA"
"Harold Webb","PhD","2396981913902322","PhD"
"Jackie Harper","B.Tech","597051622284044","M.Tech/B.Tech"
"Kurt Matthews","BA","1051913459379989","BA"
"Lara Jennings","BBA","1797325641376271","MBA/BBA"
"Mason Rhodes","BCA","701549408699640","MCA/BCA"
"Owen Perry","M.Tech","2229398729320499","M.Tech"
"Piper Freeman","MBA","1035962466538619","MBA"
"Quinton Lawrence","MCA","2682885019918421","MCA"
"Riley Patterson","PhD","1210716694494745","PhD"
"Tanya Edwards","B.Tech","1897889866490987","M.Tech/B.Tech"
"Ulysses Ross","BA","489667487602777","BA"
"Vivian Hughes","BBA","101573916157303","MBA/BBA"
"Wayne Rogers","BCA","525281655753384","MCA/BCA"
"Yasmine Barrett","M.Tech","1176145444831178","M.Tech"
"Zane Cole","MBA","3089872708320804","MBA"
"Abigail Porter","MCA","2342102969436325","MCA"
"Blake Townsend","PhD","1798329948423315","PhD"
"Dylan Walker","B.Tech","1349423184681911","M.Tech/B.Tech"
"Elise Sanders","BA","2446867965034538","BA"
"Francis Hicks","BBA","562496115987149","MBA/BBA"
"Gloria Long","BCA","1289251819497161","MCA/BCA"
"Isabel Rivera","M.Tech","1092152760580591","M.Tech"
"Jason Bell","MBA","90206306057788","MBA"
"Kate Hughes","MCA","926810512029747","MCA"
"Liam Martin","PhD","1763057525320830","PhD"
"Noah Cooper","B.Tech","2241417830595973","M.Tech/B.Tech"
"Ophelia Barnes","BA","2380984392796015","BA"
"Parker Wood","BBA","2032206964124782","MBA/BBA"
"Quincy Young","BCA","106369463019998","MCA/BCA"
"Sophia Lee","M.Tech","543928597169568","M.Tech"
"Tyler Adams","MBA","929606414503529","MBA"
"Ulysses Clark","MCA","979483445194273","MCA"
"Victoria Morgan","PhD","645387537302044","PhD"
"Jane Smith","B.Tech","43398361800795","M.Tech/B.Tech"
"Alice Johnson","BA","2309422484185919","BA"
"Bob Brown","BBA","2782721503433717","MBA/BBA"
"Charlie Davis","BCA","3019618672123542","MCA/BCA"
"George Harris","M.Tech","2692840892291067","M.Tech"
"Hannah Martin","MBA","406587759130697","MBA"
"Ian Clark","MCA","2949373683956421","MCA"
"Jessica Lewis","PhD","1141854539601184","PhD"
"Larry Anderson","B.Tech","2868689538177074","M.Tech/B.Tech"
"Monica Hall","BA","1524163597812972","BA"
"Nathan Allen","BBA","796904812848350","MBA/BBA"
"Olivia Young","BCA","597445570742115","MCA/BCA"
"Quinn Wright","M.Tech","127772837015261","M.Tech"
"Rachel Scott","MBA","2142370676486187","MBA"
"Steve Adams","MCA","1157560773593094","MCA"
"Tina Baker","PhD","25492121864742","PhD"
"Victor Roberts","B.Tech","1256176335840374","M.Tech/B.Tech"
"Wendy Evans","BA","565509212351846","BA"
"Xander Collins","BBA","3049817223846692","MBA/BBA"
"Yvonne Stewart","BCA","826032116926537","MCA/BCA"
"Aaron Wood","M.Tech","2996765481548795","M.Tech"
"Bella Watson","MBA","3044350653716755","MBA"
"Cameron Reed","MCA","646662069455062","MCA"
"Diana Murphy","PhD","2347172816045402","PhD"
"Fiona Bailey","B.Tech","608188331742668","M.Tech/B.Tech"
"Gavin Nelson","BA","1336610227770938","BA"
"Hazel Rivera","BBA","2473955470099159","MBA/BBA"
"Isaac Brooks","BCA","2710049392003632","MCA/BCA"
"Kevin Mitchell","M.Tech","1370614736291327","M.Tech"
"Luna Gray","MBA","994403317969629","MBA"
"Michael Hayes","MCA","287573460673337","MCA"
"Nina Simmons","PhD","1649353208384029","PhD"
"Paula Ward","B.Tech","1970829435215308","M.Tech/B.Tech"
"Quincy Hughes","BA","1240445359302047","BA"
"Ruby Powell","BBA","569275062748575","MBA/BBA"
"Samuel Russell","BCA","819015008592228","MCA/BCA"
"Ursula Howard","M.Tech","1115649817553253","M.Tech"
"Victor Morgan","MBA","1320550532910588","MBA"
"Walter Bell","MCA","1725111147204690","MCA"
"Xena Bryant","PhD","346239188068797","PhD"
"Zoe Jenkins","B.Tech","127305354728754","M.Tech/B.Tech"
"Anthony Long","BA","722184685078158","BA"
"Brittany Patterson","BBA","2264496242884505","MBA/BBA"
"Carlos Coleman","BCA","1427243639846368","MCA/BCA"
"Eleanor Perry","M.Tech","1890212327591166","M.Tech"
"Frankie Alexander","MBA","1936881654166667","MBA"
"Gina Butler","MCA","668060974215211","MCA"
"Harold Webb","PhD","1263243667540296","PhD"
"Jackie Harper","B.Tech","2799041950001355","M.Tech/B.Tech"
"Kurt Matthews","BA","1962581702946607","BA"
"Lara Jennings","BBA","1128727651801286","MBA/BBA"
"Mason Rhodes","BCA","1391430826820681","MCA/BCA"
"Owen Perry","M.Tech","964869807208718","M.Tech"
"Piper Freeman","MBA","712885200633565","MBA"
"Quinton Lawrence","MCA","2959379509373746","MCA"
"Riley Patterson","PhD","2329323688660023","PhD"
"Tanya Edwards","B.Tech","1662109777348888","M.Tech/B.Tech"
"Ulysses Ross","BA","1997446494058173","BA"
"Vivian Hughes","BBA","768680871766062","MBA/BBA"
"Wayne Rogers","BCA","2089870079943950","MCA/BCA"
"Yasmine Barrett","M.Tech","2575475516750376","M.Tech"
"Zane Cole","MBA","1108107325901763","MBA"
"Abigail Porter","MCA","550037765195015","MCA"
"Blake Townsend","PhD","801254031608030","PhD"
"Dylan Walker","B.Tech","602177630315335","M.Tech/B.Tech"
"Elise Sanders","BA","1950395417509373","BA"
"Francis Hicks","BBA","500029781929767","MBA/BBA"
"Gloria Long","BCA","1414730705711922","MCA/BCA"
"Isabel Rivera","M.Tech","2660544686876974","M.Tech/B.Tech"
"Jason Bell","MBA","2466750721870912","MBA"
"Kate Hughes","MCA","517602182974770","MCA"
"Liam Martin","PhD","1785860686978537","PhD"
"Noah Cooper","B.Tech","2180885658279269","M.Tech/B.Tech"
"Ophelia Barnes","BA","19984503035797","BA"
"Parker Wood","BBA","2625276408916138","MBA/BBA"
"Quincy Young","BCA","2834677018340783","MCA/BCA"
"Sophia Lee","M.Tech","2307840348531283","M.Tech/B.Tech"
"Tyler Adams","MBA","1733586590357602","MBA"
"Ulysses Clark","MCA","3056547484261897","MCA"
"Victoria Morgan","PhD","333866798461572","PhD"
"Jane Smith","B.Tech","764557932436704","M.Tech/B.Tech"
"Alice Johnson","BA","1840472006295844","BA"
"Bob Brown","BBA","1261619008036963","MBA/BBA"
"Charlie Davis","BCA","2987537344798763","MCA/BCA"
"George Harris","M.Tech","656678407625538","M.Tech/B.Tech"
"Hannah Martin","MBA","300599914475757","MBA"
"Ian Clark","MCA","698171318419051","MCA"
"Jessica Lewis","PhD","392760471034312","PhD"
"Larry Anderson","B.Tech","2192491116658936","M.Tech/B.Tech"
"Monica Hall","BA","387786646229837","BA"
"Nathan Allen","BBA","2401059834225792","MBA/BBA"
"Olivia Young","BCA","243219404665372","MCA/BCA"
"Quinn Wright","M.Tech","736337123606915","M.Tech"
"Rachel Scott","MBA","1521531905731978","MBA"
"Steve Adams","MCA","2387169112445909","MCA"
"Tina Baker","PhD","1344913041635056","PhD"
"Victor Roberts","B.Tech","1447046857284065","M.Tech/B.Tech"
"Wendy Evans","BA","35477632910017","BA"
"Xander Collins","BBA","1610693090926888","MBA/BBA"
"Yvonne Stewart","BCA","1307502863538316","MCA/BCA"
"Aaron Wood","M.Tech","752199132854164","M.Tech"
"Bella Watson","MBA","2291616033246420","MBA"
"Cameron Reed","MCA","1708229347922297","MCA"
"Diana Murphy","PhD","1963966451104578","PhD"
"Fiona Bailey","B.Tech","3003167776059134","M.Tech/B.Tech"
"Gavin Nelson","BA","823759790674092","BA"
"Hazel Rivera","BBA","505713735553936","MBA/BBA"
"Isaac Brooks","BCA","1783038709502119","MCA/BCA"
"Kevin Mitchell","M.Tech","721974750280587","M.Tech"
"Luna Gray","MBA","1038712037768921","MBA"
